datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,date_utc,funding_rate_day_sum,funding_points_in_day
2020-01-01 00:00:00+00:00,129.12,132.96,128.62,130.62,466063.929,61037558.40428,40168,232492.871,30446139.87524,2020-01-01,1.2290000000000033e-05,3
2020-01-02 00:00:00+00:00,130.63,130.75,126.25,127.11,523582.924,67377970.84502,47479,253840.635,32674934.35326,2020-01-02,0.00025047000000000003,3
2020-01-03 00:00:00+00:00,127.11,135.07,125.78,134.29,951123.597,125018928.04077,106861,486159.153,63907153.10402,2020-01-03,0.00030000000000000003,3
2020-01-04 00:00:00+00:00,134.31,135.8,132.41,134.14,509778.108,68153930.41227,65138,257304.84,34406351.99057,2020-01-04,0.00030000000000000003,3
2020-01-05 00:00:00+00:00,134.14,138.17,134.12,135.33,669677.687,91098597.42478,71080,332189.944,45185997.79727,2020-01-05,0.00030000000000000003,3
2020-01-06 00:00:00+00:00,135.32,144.38,134.82,144.04,1095147.166,153993462.03959,89851,565039.363,79461767.47336,2020-01-06,0.00030000000000000003,3
2020-01-07 00:00:00+00:00,144.11,145.25,138.7,142.86,963331.505,137384193.55172,82275,481985.847,68782673.41951,2020-01-07,0.00030000000000000003,3
2020-01-08 00:00:00+00:00,142.86,147.94,137.15,140.75,1208133.766,171733898.79286,117669,593769.495,84431362.93629,2020-01-08,0.00030000000000000003,3
2020-01-09 00:00:00+00:00,140.76,141.52,135.33,137.73,956864.213,132349219.83971,79801,460011.726,63634192.42552,2020-01-09,0.00030000000000000003,3
2020-01-10 00:00:00+00:00,137.73,145.15,135.22,144.8,908378.249,127143267.90469,88107,451491.742,63243003.62813,2020-01-10,0.00030000000000000003,3
2020-01-11 00:00:00+00:00,144.8,148.03,142.0,142.4,832163.204,119977193.63432,83777,400748.783,57809841.35838,2020-01-11,0.00030000000000000003,3
2020-01-12 00:00:00+00:00,142.4,146.6,141.71,146.57,630256.911,90941158.24868,63661,329084.039,47490278.22387,2020-01-12,0.00030000000000000003,3
2020-01-13 00:00:00+00:00,146.57,147.0,142.32,143.58,558655.672,80266745.59378,55178,279441.457,40161070.63786,2020-01-13,0.00030000000000000003,3
2020-01-14 00:00:00+00:00,143.57,171.0,143.49,165.77,2169559.414,342187335.94531,200718,1093708.213,172392113.33496,2020-01-14,0.00030000000000000003,3
2020-01-15 00:00:00+00:00,165.75,172.18,159.35,166.6,1391999.279,230286716.67757,161755,659342.288,109136637.08767,2020-01-15,0.00063631,3
2020-01-16 00:00:00+00:00,166.61,167.63,158.43,164.37,784199.474,127461014.43638,96110,371086.603,60358530.56161,2020-01-16,0.00097811,3
2020-01-17 00:00:00+00:00,164.39,174.79,162.27,170.06,946707.348,160259747.79844,132234,457329.539,77442370.40568,2020-01-17,0.00049099,3
2020-01-18 00:00:00+00:00,170.06,179.57,165.08,174.43,819444.357,142262348.68168,126514,390507.838,67879871.85541,2020-01-18,0.00031014,3
2020-01-19 00:00:00+00:00,174.37,178.42,161.81,167.04,742371.819,125956521.7234,123733,340703.545,57894394.44088,2020-01-19,0.00088365,3
2020-01-20 00:00:00+00:00,167.04,169.48,161.5,167.03,390055.869,64624702.00634,60886,177886.786,29490461.02375,2020-01-20,0.00140146,3
2020-01-21 00:00:00+00:00,167.01,170.34,165.02,169.52,351565.999,58986902.98569,48717,170834.392,28676762.37858,2020-01-21,0.00057087,3
2020-01-22 00:00:00+00:00,169.62,171.61,166.12,168.19,334378.174,56350595.56504,46337,163071.874,27491493.08245,2020-01-22,0.0003535,3
2020-01-23 00:00:00+00:00,168.24,168.38,159.41,162.97,481102.22,78583548.01533,67538,222287.501,36313451.31092,2020-01-23,0.00041994000000000005,3
2020-01-24 00:00:00+00:00,162.97,164.65,155.72,162.63,472568.424,75924771.97144,64720,227946.374,36649321.72762,2020-01-24,0.00060785,3
2020-01-25 00:00:00+00:00,162.66,163.0,157.8,160.52,282785.555,45339862.12769,42072,139386.142,22353858.35028,2020-01-25,0.00047793,3
2020-01-26 00:00:00+00:00,160.5,168.16,159.5,167.9,326188.863,53409274.40732,43835,165546.267,27127146.45932,2020-01-26,0.00068346,3
2020-01-27 00:00:00+00:00,167.98,172.26,165.28,170.21,418039.792,70720869.02324,53201,205608.964,34806573.43452,2020-01-27,0.00030000000000000003,3
2020-01-28 00:00:00+00:00,170.25,176.7,170.22,175.88,525282.459,90758791.20274,72110,270004.061,46676300.09117,2020-01-28,0.0015116700000000001,3
2020-01-29 00:00:00+00:00,175.89,178.85,173.3,173.8,401619.605,70901067.68041,57915,185615.397,32786299.58685,2020-01-29,0.00283957,3
2020-01-30 00:00:00+00:00,173.86,187.4,171.07,185.14,653770.608,116665433.71156,86918,326526.705,58296995.18522,2020-01-30,0.00158891,3
2020-01-31 00:00:00+00:00,185.16,186.34,175.5,180.14,672522.049,121744510.77084,82806,314492.275,56925203.37113,2020-01-31,0.00308347,3
2020-02-01 00:00:00+00:00,180.14,184.58,179.41,183.82,526688.019,96080885.54872,73274,249313.968,45501296.89903,2020-02-01,0.00195646,3
2020-02-02 00:00:00+00:00,183.8,193.7,179.0,188.59,907342.798,170846713.44708,136351,466111.723,87794354.83827,2020-02-02,0.00061328,3
2020-02-03 00:00:00+00:00,188.64,195.45,186.65,189.92,652054.538,124122130.70399,91435,316307.928,60255705.27633,2020-02-03,0.00030000000000000003,3
2020-02-04 00:00:00+00:00,189.89,191.76,184.71,189.01,614290.379,115364577.74246,80668,291973.564,54837961.94932,2020-02-04,0.00090678,3
2020-02-05 00:00:00+00:00,189.0,208.18,188.26,204.1,902811.615,178375200.47346,110642,471954.871,93196284.84241,2020-02-05,0.00115515,3
2020-02-06 00:00:00+00:00,204.1,216.7,201.28,213.27,1254989.317,264288535.88063,171238,610706.4,128644935.73927,2020-02-06,0.00243217,3
2020-02-07 00:00:00+00:00,213.3,225.36,213.3,223.57,1054174.736,232249153.37736,135137,517661.199,114073475.57485,2020-02-07,0.00093406,3
2020-02-08 00:00:00+00:00,223.57,228.02,213.35,223.57,1090545.108,243043392.21839,136512,543988.258,121365032.60704,2020-02-08,0.00083782,3
2020-02-09 00:00:00+00:00,223.57,230.9,223.5,228.64,969021.787,220695663.91218,120637,482868.547,109983734.26184,2020-02-09,0.00296514,3
2020-02-10 00:00:00+00:00,228.71,229.96,217.32,223.03,1175671.024,262203105.9402,160175,558120.984,124472501.09725,2020-02-10,0.00619823,3
2020-02-11 00:00:00+00:00,223.04,239.98,218.64,237.16,1194286.448,272327898.64944,165529,602437.545,137454951.49244,2020-02-11,0.00376534,3
2020-02-12 00:00:00+00:00,237.17,277.97,237.17,266.24,2223807.477,574225360.14547,334904,1114986.26,288056590.6003,2020-02-12,0.00800644,3
2020-02-13 00:00:00+00:00,266.26,278.8,256.2,268.48,2386998.02,639755030.53358,373205,1154240.28,309528635.82975,2020-02-13,0.00439932,3
2020-02-14 00:00:00+00:00,268.48,287.58,260.53,285.4,1447161.175,395789382.38502,239287,734046.309,200955793.60695,2020-02-14,0.0031325299999999997,3
2020-02-15 00:00:00+00:00,285.4,289.0,262.41,265.08,1925220.413,529235758.42768,300463,912474.572,250947476.47505,2020-02-15,0.00300311,3
2020-02-16 00:00:00+00:00,265.16,274.3,237.86,258.87,2297491.401,594576100.72784,379609,1101439.466,285170253.02842,2020-02-16,0.00296663,3
2020-02-17 00:00:00+00:00,258.87,268.81,242.32,268.0,2129022.892,538264137.1458,384716,1063497.823,269082793.60059,2020-02-17,0.0020593399999999998,3
2020-02-18 00:00:00+00:00,267.99,286.48,258.78,282.96,1885124.383,515176525.90584,295234,943749.819,258123817.01442,2020-02-18,0.00060246,3
2020-02-19 00:00:00+00:00,282.96,286.7,250.0,258.43,1677778.697,459670219.19239,276538,782917.559,215013605.81283,2020-02-19,0.00235701,3
2020-02-20 00:00:00+00:00,258.39,264.32,245.91,257.11,1618473.989,415072958.53042,371065,790782.295,202893315.78492,2020-02-20,0.0008334099999999999,3
2020-02-21 00:00:00+00:00,257.18,268.5,253.89,265.44,985301.295,258780144.08535,186008,485006.49,127416333.80961,2020-02-21,0.0018084899999999998,3
2020-02-22 00:00:00+00:00,265.45,267.16,256.23,261.83,752957.418,196960689.6889,168666,369197.715,96597080.93081,2020-02-22,0.0015391200000000002,3
2020-02-23 00:00:00+00:00,261.82,275.84,261.5,274.67,940831.98,254128741.02017,195861,489965.233,132338552.23739,2020-02-23,0.00168785,3
2020-02-24 00:00:00+00:00,274.66,277.26,257.5,265.7,1483265.023,396190156.06157,292530,692233.134,184921494.2273,2020-02-24,0.00112224,3
2020-02-25 00:00:00+00:00,265.69,266.4,244.57,247.03,1563901.657,399165818.02308,307867,753421.526,192365512.49983,2020-02-25,0.00124051,3
2020-02-26 00:00:00+00:00,247.03,250.54,215.75,224.1,2729291.802,633303689.86963,505295,1294649.229,300389579.23579,2020-02-26,0.00198428,3
2020-02-27 00:00:00+00:00,224.13,238.58,210.01,227.92,2374539.334,536493997.29536,538634,1175706.614,265615392.59061,2020-02-27,0.00046167999999999996,3
2020-02-28 00:00:00+00:00,227.93,234.93,214.25,227.09,2026863.186,454376453.34299,416639,1002979.415,224893570.98125,2020-02-28,0.00068276,3
2020-02-29 00:00:00+00:00,227.04,233.33,217.14,217.31,1309444.25,295997709.3792,239830,625224.35,141413408.27497,2020-02-29,0.0014422,3
2020-03-01 00:00:00+00:00,217.37,228.0,212.33,218.01,1775078.523,390456164.9947,319189,873539.551,192263823.94329,2020-03-01,0.0006682999999999999,3
2020-03-02 00:00:00+00:00,218.01,234.5,216.24,232.22,1604040.396,362061880.36415,252090,804595.09,181574683.73656,2020-03-02,0.00040385,3
2020-03-03 00:00:00+00:00,232.24,232.67,220.21,224.1,1544830.651,350368765.18825,250480,748718.782,169868271.66981,2020-03-03,0.00051403,3
2020-03-04 00:00:00+00:00,224.1,229.0,220.45,224.47,1027175.512,230726528.92651,164273,496362.497,111524927.56144,2020-03-04,0.00093984,3
2020-03-05 00:00:00+00:00,224.43,234.26,224.43,228.64,1142530.928,262593712.18975,190706,567305.418,130380228.47648,2020-03-05,0.00104933,3
2020-03-06 00:00:00+00:00,228.63,245.38,227.6,244.94,1307956.34,309193535.18403,210885,663718.468,156959651.82331,2020-03-06,0.0005738,3
2020-03-07 00:00:00+00:00,244.97,251.8,236.3,237.34,1637057.953,398551973.39385,262341,794974.814,193632844.4529,2020-03-07,0.00033739,3
2020-03-08 00:00:00+00:00,237.36,237.38,195.35,199.54,3150036.792,684775390.09688,435510,1469323.237,319723551.04261,2020-03-08,0.0011610000000000001,3
2020-03-09 00:00:00+00:00,199.54,208.65,190.02,203.02,3885205.704,778277652.87276,558024,1909913.08,382744254.68392,2020-03-09,0.0003762,3
2020-03-10 00:00:00+00:00,202.95,206.32,195.66,200.95,2008333.356,405031566.29724,342612,968753.168,195462480.47501,2020-03-10,0.0006042700000000001,3
2020-03-11 00:00:00+00:00,200.9,203.26,181.88,194.81,2125322.09,410229505.12859,377831,1026948.354,198332325.09505,2020-03-11,0.0006355099999999999,3
2020-03-12 00:00:00+00:00,194.77,195.81,95.0,106.71,7116256.717,1042747529.1893,876766,3369170.276,492278540.99367,2020-03-12,0.00100917,3
2020-03-13 00:00:00+00:00,106.97,323.0,84.23,134.13,6584772.112,787562869.6648,1143787,3275393.829,392613471.47557,2020-03-13,-0.0029976900000000003,3
2020-03-14 00:00:00+00:00,134.1,134.67,121.16,122.55,1845475.252,237313127.06988,291746,937461.574,120658029.94881,2020-03-14,0.00030000000000000003,3
2020-03-15 00:00:00+00:00,122.56,133.85,120.4,123.89,1802030.406,224638895.20642,341902,907501.148,113274408.82917,2020-03-15,0.00030000000000000003,3
2020-03-16 00:00:00+00:00,123.87,124.4,100.11,111.06,3622097.906,400195138.40241,633699,1871621.829,206872438.70104,2020-03-16,-2.9319999999999997e-05,3
2020-03-17 00:00:00+00:00,111.04,121.55,109.34,115.68,2053691.349,239015139.83578,432785,1051709.94,122482731.5263,2020-03-17,0.00030000000000000003,3
2020-03-18 00:00:00+00:00,115.67,118.59,109.78,118.16,1583517.464,181277993.24376,367376,796605.638,91263909.2959,2020-03-18,0.00030000000000000003,3
2020-03-19 00:00:00+00:00,118.12,143.34,115.5,136.42,2098800.654,270554423.25128,422407,1077019.514,139051491.67331,2020-03-19,0.00030000000000000003,3
2020-03-20 00:00:00+00:00,136.42,152.68,116.67,133.52,3128620.956,431165491.64371,607243,1539260.894,212671989.18522,2020-03-20,0.00030000000000000003,3
2020-03-21 00:00:00+00:00,133.48,137.58,125.58,132.67,1933564.299,254848453.29529,402245,985271.532,129897772.29271,2020-03-21,0.00030000000000000003,3
